Time;Wind_speed m/s
01/01/2019 04:00;7.147
01/01/2019 05:00;7.626
01/01/2019 06:00;8.113
01/01/2019 07:00;8.320
01/01/2019 08:00;8.256
01/01/2019 09:00;8.080
01/01/2019 10:00;7.853
01/01/2019 11:00;7.620
01/01/2019 12:00;7.474
01/01/2019 13:00;7.213
01/01/2019 14:00;6.959
01/01/2019 15:00;6.971
01/01/2019 16:00;7.199
01/01/2019 17:00;7.215
01/01/2019 18:00;7.081
01/01/2019 19:00;6.966
01/01/2019 20:00;6.911
01/01/2019 21:00;6.769
01/01/2019 22:00;6.435
01/01/2019 23:00;5.958
02/01/2019 00:00;5.380
02/01/2019 01:00;5.001
02/01/2019 02:00;4.729
02/01/2019 03:00;4.555
02/01/2019 04:00;4.470
02/01/2019 05:00;4.485
02/01/2019 06:00;4.427
02/01/2019 07:00;3.929
02/01/2019 08:00;3.554
02/01/2019 09:00;3.448
02/01/2019 10:00;3.383
02/01/2019 11:00;3.083
02/01/2019 12:00;2.634
02/01/2019 13:00;2.345
02/01/2019 14:00;2.089
02/01/2019 15:00;1.946
02/01/2019 16:00;1.960
02/01/2019 17:00;2.091
02/01/2019 18:00;2.217
02/01/2019 19:00;2.290
02/01/2019 20:00;2.391
02/01/2019 21:00;2.651
02/01/2019 22:00;2.861
02/01/2019 23:00;2.869
03/01/2019 00:00;2.846
03/01/2019 01:00;2.908
03/01/2019 02:00;2.988
03/01/2019 03:00;2.755
03/01/2019 04:00;2.451
03/01/2019 05:00;2.501
03/01/2019 06:00;2.290
03/01/2019 07:00;2.020
03/01/2019 08:00;2.099
03/01/2019 09:00;2.345
03/01/2019 10:00;2.567
03/01/2019 11:00;2.715
03/01/2019 12:00;2.761
03/01/2019 13:00;2.688
03/01/2019 14:00;2.526
03/01/2019 15:00;2.353
03/01/2019 16:00;2.162
03/01/2019 17:00;2.060
03/01/2019 18:00;2.163
03/01/2019 19:00;2.385
03/01/2019 20:00;2.648
03/01/2019 21:00;2.890
03/01/2019 22:00;3.012
03/01/2019 23:00;3.007
04/01/2019 00:00;2.929
04/01/2019 01:00;2.981
04/01/2019 02:00;3.296
04/01/2019 03:00;3.596
04/01/2019 04:00;3.531
04/01/2019 05:00;3.378
04/01/2019 06:00;3.272
04/01/2019 07:00;2.862
04/01/2019 08:00;2.665
04/01/2019 09:00;2.510
04/01/2019 10:00;2.383
04/01/2019 11:00;2.234
04/01/2019 12:00;2.155
04/01/2019 13:00;2.115
04/01/2019 14:00;2.199
04/01/2019 15:00;2.247
04/01/2019 16:00;2.356
04/01/2019 17:00;2.685
04/01/2019 18:00;2.973
04/01/2019 19:00;3.273
04/01/2019 20:00;3.603
04/01/2019 21:00;3.850
04/01/2019 22:00;4.016
04/01/2019 23:00;4.082
05/01/2019 00:00;4.078
05/01/2019 01:00;4.142
05/01/2019 02:00;4.280
05/01/2019 03:00;4.231
05/01/2019 04:00;4.052
05/01/2019 05:00;3.753
05/01/2019 06:00;3.378
05/01/2019 07:00;2.984
05/01/2019 08:00;2.925
05/01/2019 09:00;2.923
05/01/2019 10:00;2.802
05/01/2019 11:00;2.834
05/01/2019 12:00;3.193
