Time;Beaufonds;Langevin;St Leu;St Pierre;Ste Rose;St Andre;Tampon;Digue;Ste Marie;Abondance
01/01/2019 04:00;6.934;7.212;7.427;7.510;7.241;6.890;7.281;6.886;6.848;6.756
01/01/2019 05:00;7.456;7.715;7.910;7.996;7.743;7.450;7.780;7.482;7.409;7.292
01/01/2019 06:00;7.991;8.210;8.306;8.438;8.240;8.008;8.252;8.011;7.955;7.847
01/01/2019 07:00;8.223;8.436;8.383;8.601;8.449;8.213;8.437;8.139;8.144;8.095
01/01/2019 08:00;8.157;8.419;8.203;8.528;8.380;8.084;8.372;7.917;7.999;8.034
01/01/2019 09:00;7.957;8.315;7.922;8.381;8.192;7.798;8.215;7.519;7.694;7.829
01/01/2019 10:00;7.692;8.133;7.592;8.175;7.950;7.448;7.992;7.052;7.322;7.554
01/01/2019 11:00;7.447;7.914;7.362;7.976;7.707;7.160;7.776;6.683;7.022;7.308
01/01/2019 12:00;7.299;7.817;7.324;7.925;7.556;6.976;7.699;6.453;6.839;7.163
01/01/2019 13:00;6.957;7.687;7.314;7.879;7.277;6.595;7.583;6.157;6.488;6.788
01/01/2019 14:00;6.608;7.574;7.349;7.856;7.003;6.220;7.486;5.920;6.154;6.400
01/01/2019 15:00;6.589;7.670;7.500;7.989;7.012;6.172;7.586;5.900;6.122;6.367
01/01/2019 16:00;6.891;7.891;7.737;8.204;7.256;6.466;7.825;6.109;6.407;6.703
01/01/2019 17:00;6.917;7.903;7.757;8.212;7.277;6.505;7.839;6.162;6.448;6.733
01/01/2019 18:00;6.775;7.739;7.580;8.035;7.142;6.388;7.671;6.081;6.332;6.590
01/01/2019 19:00;6.653;7.645;7.488;7.935;7.027;6.294;7.572;6.048;6.248;6.467
01/01/2019 20:00;6.611;7.652;7.497;7.936;6.975;6.290;7.572;6.091;6.253;6.434
01/01/2019 21:00;6.483;7.559;7.422;7.843;6.833;6.204;7.480;6.059;6.177;6.318
01/01/2019 22:00;6.149;7.275;7.154;7.565;6.492;5.895;7.195;5.802;5.878;5.989
01/01/2019 23:00;5.670;6.885;6.776;7.186;6.005;5.429;6.802;5.380;5.424;5.517
02/01/2019 00:00;5.088;6.393;6.399;6.746;5.414;4.893;6.335;4.945;4.912;4.941
