,Nom de la ligne,Longueur (km),Capacite (MVA),Type
0,Abondance/Beaufonds/Riviere de l'Est,17.812,44.7,Aerien
1,Abondance/Moufia,25.309,44.7,Aerien
2,Abondance/St Andre,11.661,44.7,Aerien
3,Abondance/St Pierre,44.719,44.7,Aerien
4,Abondance/Ste Rose,17.841,44.7,Aerien
5,Abondance/Takamaka,8.508,44.7,Aerien
6,Bois Rouge/St Andre,7.112,44.7,Aerien
7,Bois Rouge/Ste Marie,16.793,44.7,Aerien
8,Dattiers1/Moufia1,3.09,26.2,Aerien
9,Dattiers2/Moufia2,2.809,26.2,Aerien
10,Digue/Moufia,4.623,44.7,Aerien
11,Digue/Possession1,14.86,44.7,Aerien
12,Langevin/St Pierre,17.511,44.7,Aerien
13,Le Bras de la Plaine/Le Gol,9.451,44.7,Aerien
14,Le Bras de la Plaine/Le Gol2,12.107,44.7,Aerien
15,Le Bras de la Plaine/St Pierre,7.345,44.7,Aerien
16,Le Bras de la Plaine/Tampon,7.861,44.7,Aerien
17,Le Gol/La Vallee,17.506,44.7,Aerien
18,Le Gol/St Leu,13.899,44.7,Aerien
19,Marquet/St Paul,8.626,44.7,Aerien
20,Moufia/Possession,17.919,44.7,Aerien
21,Moufia/St Andre,17.454,44.7,Aerien
22,Moufia/Ste Marie,10.995,44.7,Aerien
23,Piquage/Beaufonds,3.788,44.7,Aerien
24,St Leu/Saline,19.669,44.7,Aerien
25,St Paul/Saline,15.192,44.7,Aerien
26,Takamaka/Tampon,26.646,44.7,Aerien
27,Montvert/Langevin,16,26.2,Aerien
