,Nom de la ligne,Longueur (km),Capacite (MVA),Type
0,Digue/Moufia,6.941,44.7,Souterrain
1,Digue/Possession2,37.483,44.7,Souterrain
2,La Vallee/St Pierre,5.195,44.7,Souterrain
3,La Vallee/TAC SUD1,1.527,44.7,Souterrain
4,La Vallee/TAC SUD2,1.491,44.7,Souterrain
5,Le Port/Marquet1,7.466,44.7,Souterrain
6,Le Port/Marquet2,7.45,44.7,Souterrain
7,Le Port/Possession,7.217,44.7,Souterrain
8,Le Port/St Paul1,5.554,44.7,Souterrain
9,Le Port/St Paul2,5.564,44.7,Souterrain
10,Marquet/Possession1,0.086,44.7,Souterrain
11,Marquet/Possession2,0.063,44.7,Souterrain
12,Montvert/St Pierre2,4.815,44.7,Souterrain
13,Riviere de l'Est/Ste Rose,0.103,44.7,Souterrain
