Statut;Type;Tension (kV);Nom de la ligne;Coordonn√©es g√©opraphiques;Geo Shape
En exploitation;AÈrien;63;Abondance/St Andre;-21.0286270155,55.6669445916;"{""type"": ""LineString"", ""coordinates"": [[55.6671105, -21.035325], [55.667126, -21.0311412], [55.6668907, -21.0269602], [55.6666038, -21.0219337]]}"
En exploitation;AÈrien;63;Abondance/St Andre;-21.0039469587,55.6500092683;"{""type"": ""LineString"", ""coordinates"": [[55.6666038, -21.0219337], [55.6662413, -21.0190541], [55.6660199, -21.0171612], [55.6642841, -21.0156889], [55.6620982, -21.0138457], [55.6594778, -21.011652], [55.6568667, -21.0094649], [55.6550573, -21.0079326], [55.65157, -21.0050005], [55.6484438, -21.0023718], [55.6467923, -21.0009887], [55.6450186, -20.9994935], [55.6421659, -20.99708], [55.6397483, -20.9950491], [55.6377615, -20.993382], [55.6348817, -20.9909542], [55.6335414, -20.9901467], [55.630181, -20.9880773]]}"
En exploitation;AÈrien;63;Abondance/St Andre;-20.9794424796,55.616052622;"{""type"": ""LineString"", ""coordinates"": [[55.6241117, -20.9843635], [55.6211504, -20.9825604], [55.6198331, -20.9817583], [55.6170966, -20.9800886], [55.6141414, -20.9782744], [55.6108265, -20.9762392], [55.6079967, -20.9745163]]}"
En exploitation;AÈrien;63;Abondance/Moufia;-20.9705615695,55.5923028167;"{""type"": ""LineString"", ""coordinates"": [[55.503727, -20.9375824], [55.5057162, -20.9385682], [55.5086819, -20.9387287], [55.5115833, -20.9388817], [55.5166069, -20.9391752], [55.5201203, -20.9393489], [55.5226418, -20.9394964], [55.526557, -20.9396938], [55.5286707, -20.9397985], [55.5316862, -20.9399646], [55.5352821, -20.9401573], [55.5382721, -20.9403212], [55.5413951, -20.9405047], [55.5437367, -20.9406087], [55.5475637, -20.9408286], [55.5498184, -20.940946], [55.5517579, -20.9410651], [55.5534513, -20.942086], [55.5556419, -20.943438], [55.5572572, -20.9444335], [55.5586803, -20.9453086], [55.5606522, -20.9465086], [55.5625849, -20.947687], [55.5645578, -20.9489188], [55.5670868, -20.9504792], [55.5687257, -20.9514874], [55.5706015, -20.9526466], [55.5724978, -20.9538052], [55.5748573, -20.9552687], [55.5768954, -20.9565089], [55.5782665, -20.9573543], [55.5809569, -20.959006], [55.5829771, -20.9602449], [55.5850537, -20.9615106], [55.5871325, -20.9627858], [55.5889943, -20.9639174], [55.5905165, -20.964843], [55.5930931, -20.9664226], [55.5949334, -20.967552], [55.5982384, -20.9695612], [55.6013201, -20.9714765], [55.6038756, -20.9730224], [55.6058574, -20.9742214], [55.6078347, -20.9754392], [55.6099308, -20.9767406], [55.6121115, -20.9780798], [55.6144488, -20.9794815], [55.6167812, -20.9809153], [55.6196704, -20.9826604], [55.6214794, -20.9838069], [55.6238794, -20.9852335], [55.6293866, -20.9886229], [55.6327627, -20.990681], [55.634297, -20.9916217], [55.6350062, -20.9922001], [55.6373326, -20.9941573], [55.639606, -20.9960857], [55.6415224, -20.9976923], [55.6439782, -20.9997711], [55.645933, -21.0013939], [55.6475364, -21.0027601], [55.6500082, -21.004834], [55.6514125, -21.0060232], [55.6544297, -21.008562], [55.6561501, -21.0100038], [55.6588183, -21.0122711], [55.6611818, -21.0142414], [55.6640806, -21.0166726], [55.6654441, -21.0178311], [55.665684, -21.0214649], [55.6658066, -21.0236609], [55.6660265, -21.0275195]]}"
En exploitation;AÈrien;63;Abondance/Moufia;-20.9260171719,55.4867999444;"{""type"": ""LineString"", ""coordinates"": [[55.4969671, -20.9341966], [55.4953403, -20.9328592], [55.4935345, -20.9314144], [55.4907051, -20.9291603], [55.4894912, -20.9281821], [55.4871758, -20.9263178], [55.4844726, -20.9241275], [55.4831932, -20.923125], [55.4805346, -20.9209986], [55.4791405, -20.9198813], [55.4778941, -20.9188885], [55.4768321, -20.918023], [55.4767805, -20.9177558]]}"
En exploitation;AÈrien;63;Langevin/St Pierre;-21.3435021764,55.5498839127;"{""type"": ""LineString"", ""coordinates"": [[55.6175223, -21.354148], [55.6158094, -21.3538919], [55.6144416, -21.3536739], [55.6124191, -21.3533563], [55.611297, -21.3531966], [55.6096698, -21.3529413], [55.6075537, -21.3525913], [55.6060347, -21.3523541], [55.604452, -21.352101], [55.6032424, -21.3518953], [55.6011711, -21.3515837], [55.5996314, -21.3513396], [55.5976008, -21.3510135], [55.595617, -21.3507053], [55.5937087, -21.3503929], [55.5911023, -21.3500006], [55.5880126, -21.349508], [55.5869452, -21.3493417], [55.5852663, -21.3490801], [55.5835624, -21.3487999], [55.5801118, -21.3482654], [55.5782807, -21.3479585], [55.576688, -21.3477148], [55.5747862, -21.3474155], [55.572818, -21.3470988], [55.5708064, -21.3467981], [55.5677953, -21.3463008], [55.5653423, -21.3459072], [55.5632111, -21.3455793], [55.5615581, -21.345319], [55.5602814, -21.3451219], [55.5589166, -21.344908], [55.557387, -21.344661], [55.5552599, -21.3443187], [55.5532785, -21.3440123], [55.5519586, -21.3438007], [55.5507221, -21.3436005], [55.5492681, -21.3433814], [55.5477246, -21.3431232], [55.5465294, -21.3429402], [55.5449449, -21.3426902], [55.543837, -21.3425182], [55.5429182, -21.3423737], [55.5410747, -21.3420773], [55.5398219, -21.3418709], [55.537695, -21.3415375], [55.5356776, -21.3412228], [55.5342808, -21.3409995], [55.5334223, -21.3408655], [55.5322563, -21.3406873], [55.5308408, -21.3404679], [55.5294431, -21.3402472], [55.5284414, -21.3400962], [55.5269413, -21.3398681], [55.5256021, -21.339664], [55.523639, -21.3393461], [55.521671, -21.3390453], [55.5202975, -21.3388578], [55.5188517, -21.3386044], [55.5172805, -21.3383706], [55.5158783, -21.3381652], [55.5133639, -21.3377683], [55.511851, -21.3375318], [55.5102868, -21.3372861], [55.5091042, -21.3371125], [55.507613, -21.3368732], [55.5060559, -21.3366422], [55.5043777, -21.3363785], [55.5029134, -21.33615], [55.5007277, -21.3358079], [55.4986276, -21.3354809], [55.4967765, -21.3351901], [55.4956079, -21.3350243], [55.4936717, -21.334718], [55.4918837, -21.334442], [55.4896688, -21.3340969], [55.4884569, -21.3339019], [55.48712, -21.3337048], [55.4855927, -21.3334821], [55.483623, -21.3329876], [55.4822847, -21.3326804]]}"
En exploitation;AÈrien;63;Langevin/St Pierre;-21.33272675,55.4821748;"{""type"": ""LineString"", ""coordinates"": [[55.4822847, -21.3326804], [55.4820649, -21.3327731]]}"
En exploitation;AÈrien;63;Digue/Moufia;-20.9109069536,55.466553774;"{""type"": ""LineString"", ""coordinates"": [[55.4575135, -20.9025391], [55.4586163, -20.9039997], [55.4613228, -20.9072983], [55.4629934, -20.9088197], [55.4643578, -20.9103055], [55.4661632, -20.9113444], [55.470919, -20.914111], [55.4730437, -20.9153606], [55.474661, -20.9166246], [55.476144, -20.9175934], [55.4768271, -20.9178018]]}"
En exploitation;AÈrien;63;Le Gol/St Leu;-21.2002394969,55.30226244;"{""type"": ""LineString"", ""coordinates"": [[55.3020736, -21.1999112], [55.3023301, -21.2004331], [55.3025363, -21.2004255]]}"
En exploitation;AÈrien;63;Moufia/Possession;-20.9164652373,55.4739618781;"{""type"": ""LineString"", ""coordinates"": [[55.4766313, -20.9178206], [55.4760702, -20.9177053], [55.4745832, -20.916763], [55.4734318, -20.916023], [55.4712287, -20.9152066]]}"
