Statut;Type;Tension (kV);Nom de la ligne;Coordonnées géopraphiques;Geo Shape
En exploitation;Souterrain;63;Le Port/Marquet2;-20.944428543,55.3101970825;"{""type"": ""LineString"", ""coordinates"": [[55.3283374, -20.931485], [55.3283343, -20.9317612], [55.3284239, -20.9319673], [55.3285582, -20.9322757], [55.3287379, -20.9322821], [55.3288167, -20.9324134], [55.328931, -20.9331009], [55.3288864, -20.9335054], [55.328384, -20.934911], [55.3280726, -20.9352334], [55.3260924, -20.9358647], [55.3256219, -20.9361727], [55.3261972, -20.9366976], [55.3264214, -20.9370632], [55.3264628, -20.9376585], [55.3292417, -20.9401235], [55.3285269, -20.9413768], [55.3279781, -20.9420561], [55.3272365, -20.9427967], [55.326179, -20.9437112], [55.3258127, -20.9439355], [55.3230337, -20.944854], [55.3223547, -20.9449631], [55.3180025, -20.9447049], [55.3178752, -20.9445302], [55.3176396, -20.9443543], [55.3172837, -20.9444278], [55.3171435, -20.9446118], [55.3136591, -20.9443824], [55.3127261, -20.9441974], [55.3120061, -20.9439186], [55.3113, -20.9434991], [55.3106173, -20.9430936], [55.3081505, -20.9406332], [55.3077493, -20.9406735], [55.3073184, -20.9406692], [55.3056264, -20.9434684], [55.3054253, -20.9443632], [55.305194, -20.944843], [55.3021513, -20.949612], [55.3021675, -20.9499984], [55.3020287, -20.9501394], [55.301684, -20.9501522], [55.3014578, -20.9500876], [55.2958123, -20.9520842], [55.2950836, -20.9522855], [55.2925256, -20.9514039], [55.2921683, -20.951061], [55.28759, -20.9497796], [55.288008, -20.9460243], [55.28783, -20.9456807], [55.2861592, -20.9453983]]}"
En exploitation;Souterrain;63;Digue/Possession2;-20.8751556,55.4423478;"{""type"": ""LineString"", ""coordinates"": [[55.4420507, -20.8745806], [55.4426449, -20.8757306]]}"
En exploitation;Souterrain;63;Digue/Possession2;-20.9242530014,55.3356247566;"{""type"": ""LineString"", ""coordinates"": [[55.3352654, -20.9259217], [55.3353988, -20.9253023], [55.3359841, -20.9225843]]}"
En exploitation;Souterrain;63;Digue/Possession2;-20.9113743509,55.3375559875;"{""type"": ""LineString"", ""coordinates"": [[55.3359841, -20.9225843], [55.3374391, -20.9158276], [55.338412, -20.9000658]]}"
En exploitation;Souterrain;63;Digue/Possession2;-20.8692289,55.3549349;"{""type"": ""LineString"", ""coordinates"": [[55.3524097, -20.8703938], [55.3574601, -20.868064]]}"
En exploitation;Souterrain;63;Digue/Possession2;-20.86194175,55.3707294;"{""type"": ""LineString"", ""coordinates"": [[55.3650874, -20.8645451], [55.3763714, -20.8593384]]}"
En exploitation;Souterrain;63;Digue/Possession2;-20.86084295,55.4239241;"{""type"": ""LineString"", ""coordinates"": [[55.4195903, -20.8599896], [55.4282579, -20.8616963]]}"
En exploitation;Souterrain;63;Digue/Possession2;-20.8630306622,55.4326206638;"{""type"": ""LineString"", ""coordinates"": [[55.4282579, -20.8616963], [55.4317565, -20.8623852], [55.4367899, -20.864928]]}"
En exploitation;Souterrain;63;Digue/Possession2;-20.8722127923,55.4412751251;"{""type"": ""LineString"", ""coordinates"": [[55.4405224, -20.8698514], [55.4407834, -20.8701958], [55.4416321, -20.8737704], [55.4420507, -20.8745806]]}"
En exploitation;Souterrain;63;Digue/Possession2;-20.8745572628,55.377278105;"{""type"": ""LineString"", ""coordinates"": [[55.3352654, -20.9259217], [55.3352359, -20.9258603], [55.3373608, -20.9158134], [55.3391876, -20.8858632], [55.3461532, -20.873186], [55.3821158, -20.8565534], [55.3830385, -20.8565117], [55.3910216, -20.8556698], [55.3916187, -20.8555885], [55.396316, -20.8552757], [55.4047956, -20.8569606], [55.4057379, -20.8571501], [55.407382, -20.8574651], [55.4136617, -20.8587243], [55.4168137, -20.8593573], [55.4196235, -20.8599048], [55.425787, -20.8611121], [55.431346, -20.8622062], [55.4317952, -20.8622973], [55.4346592, -20.8637348], [55.4369036, -20.8648509], [55.4409085, -20.8701211], [55.4417471, -20.8737542], [55.4426581, -20.8755695], [55.4426449, -20.8757306]]}"
