Statut;Nom du poste source;Code INSEE;Commune;Point Geo;Transfo;Voltage
En exploitation;Abondance;97410;SAINT BENOIT;-21.0354692619,55.6673673328;y;63
En exploitation;Beaufonds;97410;SAINT BENOIT;-21.0515394064,55.7208527003;y;63
En exploitation;St Paul;97415;SAINT PAUL;-20.9875027621,55.2996708305;y;63
En exploitation;Ste Rose;97419;SAINTE ROSE;-21.1270050767,55.7876275879;y;63
En exploitation;Riviere de l'Est;97419;SAINTE ROSE;-21.1262836247,55.7875094575;n;63
En exploitation;Takamaka;97410;SAINT BENOIT;-21.0938147614,55.6209556833;n;63
En exploitation;St Leu;97413;SAINT LEU;-21.1995162908,55.3022617677;y;63
En exploitation;TAC SUD;97416;SAINT PIERRE;-21.3181464739,55.4503631086;n;63
En exploitation;Dattiers;97411;SAINT DENIS;-20.8996134036,55.4599422514;y;63
En exploitation;Digue;97411;SAINT DENIS;-20.8874894361,55.4429718392;y;63
En exploitation;Langevin;97412;SAINT JOSEPH;-21.3580751675,55.6473505509;y;63
En exploitation;Le Bras de la Plaine;97416;SAINT PIERRE;-21.2829703804,55.4626060515;y;63
En exploitation;Le Gol;97414;SAINT LOUIS;-21.2790303775,55.3962876086;y;63
En exploitation;Le Port;97407;LE PORT;-20.9461236513,55.2872518718;y;63
En exploitation;Ste Marie;97418;SAINTE MARIE;-20.9067162223,55.5327988975;y;63
En exploitation;Bois Rouge;97409;SAINT ANDRE;-20.9149741648,55.6357692866;y;63
En exploitation;Tampon;97422;LE TAMPON;-21.2328356003,55.5147753386;y;63
En exploitation;La Vallee;97416;SAINT PIERRE;-21.3137555134,55.4508401599;y;63
En exploitation;St Andre;97409;SAINT ANDRE;-20.9628779987,55.6224349002;y;63
En exploitation;Moufia;97411;SAINT DENIS;-20.9176966682,55.4767997517;y;63
En exploitation;Possession;97407;LE PORT;-20.9308356913,55.3286342648;y;63
En exploitation;Saline;97415;SAINT PAUL;-21.0890956867,55.2805006999;y;63
En exploitation;St Pierre;97416;SAINT PIERRE;-21.3325542403,55.4819735344;y;63
En exploitation;Montvert;97416;SAINT PIERRE;-21.341504,55.517361;n;63
En exploitation;Marquet;97407;LE PORT;-20.9313499546,55.3284282597;n;63
