,Montvert,Marquet,Le Bras de la Plaine,St Andre,Digue,St Paul,Saline,Ste Marie,Dattiers,Le Port,Possession,Beaufonds,Le Gol,Bois Rouge,Abondance,La Vallee,Langevin,St Pierre,Riviere de l'Est,Tampon,Moufia,TAC SUD,Takamaka,Ste Rose,St Leu
2050-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 06:00:00,0.0,2.78,0.0,2.78,0.0,0.0,0.0,0.0,0.0,2.78,2.78,0.0,0.0,2.78,2.78,0.0,2.78,0.0,0.0,0.0,0.0,0.0,2.78,0.0,5.56
2050-01-01 07:00:00,5.56,83.39999999999999,5.56,72.28,11.12,66.72,66.72,11.12,11.12,83.39999999999999,83.39999999999999,11.12,5.56,72.28,72.28,5.56,13.899999999999999,5.56,11.12,5.56,11.12,5.56,72.28,11.12,139.0
2050-01-01 08:00:00,36.14,303.02,36.14,366.96,58.379999999999995,211.27999999999997,211.27999999999997,58.379999999999995,58.379999999999995,303.02,303.02,36.14,36.14,366.96,366.96,36.14,30.58,36.14,36.14,36.14,58.379999999999995,36.14,366.96,36.14,269.65999999999997
2050-01-01 09:00:00,108.41999999999999,572.68,108.41999999999999,597.6999999999999,83.39999999999999,606.04,606.04,83.39999999999999,83.39999999999999,572.68,572.68,97.3,108.41999999999999,597.6999999999999,597.6999999999999,108.41999999999999,150.11999999999998,108.41999999999999,97.3,108.41999999999999,83.39999999999999,108.41999999999999,597.6999999999999,97.3,497.61999999999995
2050-01-01 10:00:00,186.26,783.9599999999999,186.26,775.6199999999999,166.79999999999998,480.93999999999994,480.93999999999994,166.79999999999998,166.79999999999998,783.9599999999999,783.9599999999999,141.78,186.26,775.6199999999999,775.6199999999999,186.26,155.67999999999998,186.26,141.78,186.26,166.79999999999998,186.26,775.6199999999999,141.78,569.9
2050-01-01 11:00:00,161.23999999999998,942.42,161.23999999999998,961.8799999999999,408.65999999999997,631.06,631.06,408.65999999999997,408.65999999999997,942.42,942.42,372.52,161.23999999999998,961.8799999999999,961.8799999999999,161.23999999999998,133.44,161.23999999999998,372.52,161.23999999999998,408.65999999999997,161.23999999999998,961.8799999999999,372.52,569.9
2050-01-01 12:00:00,219.61999999999998,1056.3999999999999,219.61999999999998,1045.28,569.9,897.9399999999999,897.9399999999999,569.9,569.9,1056.3999999999999,1056.3999999999999,556.0,219.61999999999998,1045.28,1045.28,219.61999999999998,202.94,219.61999999999998,556.0,219.61999999999998,569.9,219.61999999999998,1045.28,556.0,619.9399999999999
2050-01-01 13:00:00,319.7,1073.08,319.7,1020.2599999999999,497.61999999999995,411.44,411.44,497.61999999999995,497.61999999999995,1073.08,1073.08,1137.02,319.7,1020.2599999999999,1020.2599999999999,319.7,222.39999999999998,319.7,1137.02,319.7,497.61999999999995,319.7,1020.2599999999999,1137.02,689.4399999999999
2050-01-01 14:00:00,169.57999999999998,1006.3599999999999,169.57999999999998,1059.1799999999998,330.82,155.67999999999998,155.67999999999998,330.82,330.82,1006.3599999999999,1006.3599999999999,992.4599999999999,169.57999999999998,1059.1799999999998,1059.1799999999998,169.57999999999998,205.72,169.57999999999998,992.4599999999999,169.57999999999998,330.82,169.57999999999998,1059.1799999999998,992.4599999999999,569.9
2050-01-01 15:00:00,186.26,906.28,186.26,922.9599999999999,152.89999999999998,169.57999999999998,169.57999999999998,152.89999999999998,152.89999999999998,906.28,906.28,914.6199999999999,186.26,922.9599999999999,922.9599999999999,186.26,191.82,186.26,914.6199999999999,186.26,152.89999999999998,186.26,922.9599999999999,914.6199999999999,700.56
2050-01-01 16:00:00,144.56,617.16,144.56,642.18,127.88,144.56,144.56,127.88,127.88,617.16,617.16,753.38,144.56,642.18,642.18,144.56,152.89999999999998,144.56,753.38,144.56,127.88,144.56,642.18,753.38,408.65999999999997
2050-01-01 17:00:00,83.39999999999999,169.57999999999998,83.39999999999999,364.17999999999995,91.74,102.86,102.86,91.74,91.74,169.57999999999998,169.57999999999998,519.86,83.39999999999999,364.17999999999995,364.17999999999995,83.39999999999999,61.16,83.39999999999999,519.86,83.39999999999999,91.74,83.39999999999999,364.17999999999995,519.86,525.42
2050-01-01 18:00:00,55.599999999999994,127.88,55.599999999999994,247.42,22.24,47.26,47.26,22.24,22.24,127.88,127.88,244.64,55.599999999999994,247.42,247.42,55.599999999999994,30.58,55.599999999999994,244.64,55.599999999999994,22.24,55.599999999999994,247.42,244.64,258.53999999999996
2050-01-01 19:00:00,13.899999999999999,33.36,13.899999999999999,41.699999999999996,0.0,11.12,11.12,0.0,0.0,33.36,33.36,33.36,13.899999999999999,41.699999999999996,41.699999999999996,13.899999999999999,2.78,13.899999999999999,33.36,13.899999999999999,0.0,13.899999999999999,41.699999999999996,33.36,116.75999999999999
2050-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
